НомерЗаказа,ДатаЗаказа,НаименованиеТовара,КатегорияТовара,КоличествоПродаж,ЦенаЗаЕдиницу,ОбщаяСтоимость
1,01-01-2022,Смартфон,Мобильные Устройства,15,24999.00,374985.00
2,02-01-2022,Ноутбук,Компьютеры,10,54999.00,549990.00
3,03-01-2022,Телевизор,Бытовая Электроника,8,39999.00,319992.00
4,04-01-2022,Наушники,Аудио/Видео,25,6999.00,174975.00
5,05-01-2022,Планшет,Мобильные Устройства,12,19999.00,239988.00
6,06-01-2022,Игровая консоль,Игровые Устройства,6,44999.00,269994.00
7,07-01-2022,Цифровая фотокамера,Фото/Видео,18,19999.00,359982.00
8,08-01-2022,Умные часы,Носимая Электроника,20,12999.00,259980.00
9,09-01-2022,Bluetooth колонка,Аудио/Видео,30,4999.00,149970.00
10,10-01-2022,Внешний аккумулятор,Мобильные Устройства,22,2999.00,65978.00
11,11-01-2022,SSD,Компоненты ПК,28,6999.00,195972.00
12,12-01-2022,Видеокарта,Компоненты ПК,14,49999.00,699986.00
13,13-01-2022,Оперативная память,Компоненты ПК,32,4999.00,159968.00
14,14-01-2022,Монитор,Компьютеры,11,24999.00,274989.00
15,15-01-2022,Клавиатура,Компьютерные Аксессуары,26,2499.00,64974.00
